congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
113,House,23,2013-01-22,1,24,395,29,0.782,-0.228,1.514,-0.326,-64.635,HR307,Passed,"To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, and for other purposes",On Motion to Suspend the Rules and Pass,
113,House,24,2013-01-22,1,25,0,416,0.0,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,
113,House,25,2013-01-23,1,26,232,193,-0.024,0.287,-0.706,0.625,-7.62,HRES39,Passed,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Ordering the Previous Question,
113,House,26,2013-01-23,1,27,234,190,-0.038,0.156,-1.298,-0.091,-21.303,HRES39,Passed,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Agreeing to the Resolution,
113,House,27,2013-01-23,1,28,291,129,0.793,-0.609,0.022,-0.175,-253.0,,Passed,,On Approving the Journal,
113,House,28,2013-01-23,1,29,151,277,0.164,0.986,0.164,-0.276,-132.132,HR325,Failed,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Motion to Recommit with Instructions,
113,House,29,2013-01-23,1,30,285,144,-0.593,0.805,-0.176,-0.312,-188.241,HR325,Passed,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Passage,
113,House,30,2013-02-04,1,31,375,27,0.724,-0.507,1.261,-0.115,-49.912,HR225,Passed,"To amend title IV of the Public Health Service Act to provide for a National Pediatric Research Network, including with respect to pediatric rare diseases or conditions",On Motion to Suspend the Rules and Pass,
113,House,31,2013-02-04,1,32,352,50,0.661,-0.696,1.039,0.207,-96.358,HR297,Passed,To amend the Public Health Service Act to reauthorize support for graduate medical education programs in children’s hospitals,On Motion to Suspend the Rules and Pass,
113,House,32,2013-02-05,1,33,229,188,0.167,-0.812,-0.668,-0.841,-10.749,HRES48,Passed,"Providing for consideration of the bill (H.R. 444) to require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved",On Ordering the Previous Question,
113,House,33,2013-02-05,1,34,228,189,0.12,0.822,-0.964,0.928,-14.769,HRES48,Passed,"Providing for consideration of the bill (H.R. 444) to require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved",On Agreeing to the Resolution,
113,House,34,2013-02-06,1,35,194,228,-0.08,0.997,1.186,0.559,-23.509,HR444,Failed,,On Agreeing to the Amendment,
113,House,35,2013-02-06,1,36,75,348,0.052,0.997,0.044,-0.274,-193.946,HR444,Failed,,On Agreeing to the Amendment,
113,House,36,2013-02-06,1,37,194,229,-0.005,0.02,0.724,0.341,-2.549,HR444,Failed,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved, and for other purposes",On Motion to Recommit with Instructions,
113,House,37,2013-02-06,1,38,253,167,-0.216,0.281,-0.289,-0.164,-50.278,HR444,Passed,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved, and for other purposes",On Passage,
113,House,38,2013-02-13,1,39,354,72,-0.223,-0.471,-0.107,-0.553,-130.584,HR592,Passed,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that houses of worship are eligible for certain disaster relief and emergency assistance on terms equal to other eligible private nonprofit facilities, and for other purposes",On Motion to Suspend the Rules and Pass,
113,House,39,2013-02-13,1,40,422,0,0.0,0.0,0.0,0.0,0.0,HR267,Passed,Hydropower Regulatory Efficiency Act of 2013,On Motion to Suspend the Rules and Pass,
113,House,40,2013-02-14,1,41,229,194,0.074,-0.496,-0.717,-0.619,-5.288,HRES66,Passed,"Providing for consideration of the bill (H.R. 273) to eliminate the 2013 statutory pay adjustment for Federal employees, and for other purposes",On Ordering the Previous Question,
113,House,41,2013-02-14,1,42,227,192,0.023,0.309,-1.283,0.252,-15.77,HRES66,Passed,"Providing for consideration of the bill (H.R. 273) to eliminate the 2013 statutory pay adjustment for Federal employees, and for other purposes",On Agreeing to the Resolution,
113,House,42,2013-02-15,1,43,222,190,0.106,0.094,-0.693,-0.782,-7.432,HCONRES15,Passed,Providing for the conditional adjournment of the House and Senate,On Agreeing to the Resolution,
113,House,43,2013-02-15,1,44,261,155,-0.235,0.33,-0.17,-0.15,-109.911,HR273,Passed,To eliminate the 2013 statutory pay adjustment for Federal employees,On Passage,
113,House,44,2013-02-15,1,45,412,2,0.0,0.0,0.0,0.0,0.0,HRES65,Passed,"Condemning the Government of North Korea for its flagrant and repeated violations of multiple United Nations Security Council resolutions, for its repeated provocations that threaten international peace and stabilitiy, and for its February 12, 2013, test of a nuclear device","On Motion to Suspend the Rules and Agree, as Amended",
113,House,45,2013-02-25,1,46,303,91,0.91,-0.207,0.09,0.09,-213.398,,Passed,,On Approving the Journal,
113,House,46,2013-02-25,1,47,394,0,0.0,0.0,0.0,0.0,0.0,HR667,Passed,To redesignate the Dryden Flight Research Center as the Neil A. Armstrong Flight Research Center and the Western Aeronautical Test Range as the Hugh L. Dryden Aeronautical Test Range,On Motion to Suspend the Rules and Pass,
113,House,47,2013-02-26,1,48,1,415,0.0,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,
113,House,48,2013-02-26,1,49,411,3,0.0,0.0,0.0,0.0,0.0,HRES77,Passed,Academic Competition Resolution of 2013,On Motion to Suspend the Rules and Agree,
113,House,49,2013-02-26,1,50,290,118,0.9,-0.437,0.059,-0.035,-244.547,,Passed,,On Approving the Journal,
113,House,50,2013-02-27,1,51,229,196,-0.005,-0.034,-0.955,-0.829,-8.985,HRES83,Passed,"Providing for consideration of S. 47, the Violence Against Women Reauthorization Act of 2013",On Ordering the Previous Question,
113,House,51,2013-02-27,1,52,414,9,0.0,0.0,0.0,0.0,0.0,HRES83,Passed,"Providing for consideration of S. 47, the Violence Against Women Reauthorization Act of 2013",On Agreeing to the Resolution,
113,House,52,2013-02-27,1,53,293,119,0.935,-0.34,0.068,0.019,-247.854,,Passed,,On Approving the Journal,
113,House,53,2013-02-28,1,54,166,258,-0.19,0.898,-0.175,-0.512,-125.212,S47,Failed,,On Agreeing to the Amendment,
113,House,54,2013-02-28,1,55,287,138,0.441,0.035,1.082,1.357,-107.738,S47,Passed,Violence Against Women Reauthorization Act of 2013,On Passage,
113,House,55,2013-03-04,1,56,370,28,0.848,-0.232,1.645,-0.164,-69.683,HR307,Passed,Pandemic and All-Hazards Preparedness Reauthorization Act of 2013,On Motion to Suspend the Rules and Concur in the Senate Amendment,
113,House,56,2013-03-05,1,57,392,28,-0.541,-0.076,-0.388,0.161,-61.067,HR668,Passed,"To amend section 1105(a) of title 31, United States Code, to require that annual budget submissions of the President to Congress provide an estimate of the cost per taxpayer of the deficit, and for other purposes",On Motion to Suspend the Rules and Pass,
113,House,57,2013-03-05,1,58,421,5,0.0,0.0,0.0,0.0,0.0,HR338,Passed,Stop Tobacco Smuggling in the Territories Act of 2013,On Motion to Suspend the Rules and Pass,
113,House,58,2013-03-06,1,59,227,188,0.145,-0.683,-1.0,-0.907,-10.705,HRES99,Passed,"Providing for consideration of the bill (H.R. 933) making appropriations for the Department of Defense, the Department of Veterans Affairs, and other departments and agencies for the fiscal year ending September 30, 2013, and for other purposes",On Ordering the Previous Question,
113,House,59,2013-03-06,1,60,212,197,-0.279,0.96,-0.309,-0.662,-62.124,HRES99,Passed,"Providing for consideration of the bill (H.R. 933) making appropriations for the Department of Defense, the Department of Veterans Affairs, and other departments and agencies for the fiscal year ending September 30, 2013, and for other purposes",On Agreeing to the Resolution,
113,House,60,2013-03-06,1,61,188,231,-0.049,0.123,0.707,0.794,-3.559,HR933,Failed,"Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013",On Motion to Recommit with Instructions,
113,House,61,2013-03-06,1,62,267,151,-0.513,0.858,-0.256,-0.437,-119.123,HR933,Passed,"Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013",On Passage,
113,House,62,2013-03-12,1,63,397,17,0.867,0.027,1.198,-1.698,-38.846,HR1035,Passed,"To require a study of voluntary community-based flood insurance options and how such options could be incorporated into the national flood insurance programs, and for other purposes",On Motion to Suspend the Rules and Pass,
113,House,63,2013-03-13,1,64,233,195,-0.049,-0.296,-0.742,-0.013,-4.689,HRES107,Passed,"Providing for consideration of the bill (H.R. 890) to prohibit waivers relating to compliance with the work requirements for the program of block grants to States for temporary assistance for needy families, and for other purposes",On Ordering the Previous Question,
113,House,64,2013-03-13,1,65,233,194,-0.085,0.193,-0.728,0.267,-10.549,HRES107,Passed,"Providing for consideration of the bill (H.R. 890) to prohibit waivers relating to compliance with the work requirements for the program of block grants to States for temporary assistance for needy families, and for other purposes",On Agreeing to the Resolution,
113,House,65,2013-03-13,1,66,295,120,0.923,-0.384,0.064,-0.01,-248.282,,Passed,,On Approving the Journal,
113,House,66,2013-03-13,1,67,199,230,0.172,0.721,0.734,-0.479,-5.255,HR890,Failed,"To prohibit waivers relating to compliance with the work requirements for the program of block grants to States for temporary assistance for needy families, and for other purposes",On Motion to Recommit with Instructions,
113,House,67,2013-03-13,1,68,246,181,-0.343,0.939,-0.442,-0.553,-37.853,HR890,Passed,"To prohibit waivers relating to compliance with the work requirements for the program of block grants to States for temporary assistance for needy families, and for other purposes",On Passage,
113,House,68,2013-03-13,1,69,1,421,0.0,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,
113,House,69,2013-03-14,1,70,225,191,0.005,-0.091,-0.724,-0.347,-2.509,HRES113,Passed,"Providing for consideration of H.R. 803, the Supporting Knowledge and Investing in Lifelong Skills Act",On Ordering the Previous Question,
113,House,70,2013-03-14,1,71,226,191,0.004,-0.075,-0.728,-0.352,-2.508,HRES113,Passed,"Providing for consideration of H.R. 803, the Supporting Knowledge and Investing in Lifelong Skills Act",On Agreeing to the Resolution,
113,House,71,2013-03-14,1,72,289,125,0.89,-0.456,0.049,-0.073,-250.561,,Passed,,On Approving the Journal,
113,House,72,2013-03-15,1,73,192,227,0.148,0.876,0.832,-0.339,-5.602,HR803,Failed,,On Agreeing to the Amendment,
113,House,73,2013-03-15,1,74,184,233,-0.077,0.059,0.675,0.92,-7.488,HR803,Failed,Supporting Knowledge and Investing in Lifelong Skills Act,On Motion to Recommit with Instructions,
113,House,74,2013-03-15,1,75,215,203,-0.154,0.988,-0.321,-0.498,-46.083,HR803,Passed,Supporting Knowledge and Investing in Lifelong Skills Act,On Passage,
113,House,75,2013-03-18,1,76,284,103,0.827,-0.561,0.068,-0.036,-228.736,,Passed,,On Approving the Journal,
113,House,76,2013-03-18,1,77,388,0,0.0,0.0,0.0,0.0,0.0,HCONRES18,Passed,Authorizing the use of the Capitol Grounds for the National Peace Officers’ Memorial Service,On Motion to Suspend the Rules and Agree,
113,House,77,2013-03-18,1,78,386,0,0.0,0.0,0.0,0.0,0.0,HCONRES19,Passed,Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby,On Motion to Suspend the Rules and Agree,
113,House,78,2013-03-19,1,79,223,189,0.064,0.396,-0.728,0.22,-0.302,HRES122,Passed,"Providing for consideration of the concurrent resolution (H. Con. Res. 25) Congressional Budget, 2014; providing for consideration of the resolution (H. Res. 115) providing for the expenses of certain committees of the House Representatives in the One Hundred Thirteenth Congress; and for other purposes",On Ordering the Previous Question,
113,House,79,2013-03-19,1,80,224,189,0.06,0.331,-0.726,0.215,-0.286,HRES122,Passed,"Providing for consideration of the concurrent resolution (H. Con. Res. 25) Congressional Budget, 2014; providing for consideration of the resolution (H. Res. 115) providing for the expenses of certain committees of the House Representatives in the One Hundred Thirteenth Congress; and for other purposes",On Agreeing to the Resolution,
113,House,80,2013-03-19,1,81,272,133,0.934,-0.358,0.049,-0.012,-254.556,,Passed,,On Approving the Journal,
113,House,81,2013-03-19,1,82,272,136,-0.326,-0.605,-0.186,0.104,-130.807,HRES115,Passed,Providing for the expenses of certain committees of the House of Representatives in the One Hundred Thirteenth Congress,On Agreeing to the Resolution,
113,House,82,2013-03-20,1,83,154,261,-0.309,0.524,0.787,0.491,-36.872,HCONRES25,Failed,,On Agreeing to the Amendment,
113,House,83,2013-03-20,1,84,105,305,-0.363,-0.11,0.849,-0.161,-58.812,HCONRES25,Failed,,On Agreeing to the Amendment,
113,House,84,2013-03-20,1,85,84,327,-0.398,-0.207,0.74,0.192,-71.024,HCONRES25,Failed,,On Agreeing to the Amendment,
113,House,85,2013-03-20,1,86,104,132,0.519,-0.007,-1.135,-0.864,-100.141,HCONRES25,Failed,,On Agreeing to the Amendment,
113,House,86,2013-03-20,1,87,165,253,-0.228,0.253,0.857,-0.011,-27.483,HCONRES25,Failed,,On Agreeing to the Amendment,
113,House,87,2013-03-21,1,88,221,207,-0.078,0.997,-1.085,-1.219,-43.035,HCONRES25,Passed,Establishing the budget for the United States Government for fiscal year 2014 and setting forth appropriate budgetary levels for fiscal years 2015 through 2023,On Agreeing to the Concurrent Resolution,
113,House,88,2013-03-21,1,89,319,109,-0.653,0.404,-0.173,-0.446,-176.483,HR933,Passed,"Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013",On Motion to Concur in the Senate Amendments,
113,House,89,2013-04-09,1,90,400,4,0.0,0.0,0.0,0.0,0.0,HR254,Passed,To authorize the Secretary of the Interior to facilitate the development of hydroelectric power on the Diamond Fork System of the Central Utah Project,On Motion to Suspend the Rules and Pass,
113,House,90,2013-04-09,1,91,283,122,0.453,0.098,1.436,-0.146,-117.305,HR1033,Passed,To authorize the acquisition and protection of nationally significant battlefields and associated sites of the Revolutionary War and the War of 1812 under the American Battlefield Protection Program,On Motion to Suspend the Rules and Pass,
113,House,91,2013-04-09,1,92,294,104,0.81,-0.215,0.075,0.01,-233.916,,Passed,,On Approving the Journal,
113,House,92,2013-04-10,1,93,236,190,0.025,-0.357,-1.021,-1.139,-18.587,HRES140,Passed,"Providing for consideration of H.R. 678, Bureau of Reclamation Small Conduit Hydropower Development and Rural Jobs Act",On Ordering the Previous Question,
113,House,93,2013-04-10,1,94,189,232,-0.172,0.553,0.685,0.869,-8.688,HR678,Failed,,On Agreeing to the Amendment,
113,House,94,2013-04-10,1,95,194,226,-0.003,1.0,1.228,0.239,-19.936,HR678,Failed,"To authorize all Bureau of Reclamation conduit facilities for hydropower development under Federal Reclamation law, and for other purposes",On Motion to Recommit with Instructions,
113,House,95,2013-04-10,1,96,416,7,0.0,0.0,0.0,0.0,0.0,HR678,Passed,"To authorize all Bureau of Reclamation conduit facilities for hydropower development under Federal Reclamation law, and for other purposes",On Passage,
113,House,96,2013-04-11,1,97,226,192,0.059,0.441,-0.73,0.219,-0.353,HRES146,Passed,Providing for consideration of the bill (H.R. 1120) Preventing Greater Uncertainty in Labor-Management Relations Act,On Ordering the Previous Question,
113,House,97,2013-04-11,1,98,226,194,0.058,0.328,-0.726,0.253,-0.328,HRES146,Passed,Providing for consideration of the bill (H.R. 1120) Preventing Greater Uncertainty in Labor-Management Relations Act,On Agreeing to the Resolution,
113,House,98,2013-04-11,1,99,272,136,0.929,-0.369,0.056,0.041,-259.117,,Passed,,On Approving the Journal,
113,House,99,2013-04-12,1,100,197,229,0.129,0.974,0.954,-0.67,-11.12,HR1120,Failed,Preventing Greater Uncertainty in Labor-Management Relations Act,On Motion to Recommit with Instructions,
113,House,100,2013-04-12,1,101,219,209,0.199,-0.139,-1.062,-0.846,-24.112,HR1120,Passed,Preventing Greater Uncertainty in Labor-Management Relations Act,On Passage,
113,House,101,2013-04-12,1,102,277,131,0.918,-0.397,0.049,-0.054,-253.359,,Passed,,On Approving the Journal,
113,House,102,2013-04-15,1,103,408,0,0.0,0.0,0.0,0.0,0.0,HR1162,Passed,"To amend title 31, United States Code, to make improvements in the Government Accountability Office","On Motion to Suspend the Rules and Pass, as Amended",
113,House,103,2013-04-15,1,104,407,0,0.0,0.0,0.0,0.0,0.0,HR882,Passed,"To prohibit the awarding of a contract or grant in excess of the simplified acquisition threshold unless the prospective contractor or grantee certifies in writing to the agency awarding the contract or grant that the contractor or grantee has no seriously delinquent tax debts, and for other purposes","On Motion to Suspend the Rules and Pass, as Amended",
113,House,104,2013-04-15,1,105,250,159,-0.158,0.195,-0.176,-0.049,-97.205,HR249,Failed,"To amend title 5, United States Code, to provide that persons having seriously delinquent tax debts shall be ineligible for Federal employment",On Motion to Suspend the Rules and Pass,
113,House,105,2013-04-16,1,106,416,0,0.0,0.0,0.0,0.0,0.0,HR1163,Passed,Federal Information Security Amendments Act of 2013,On Motion to Suspend the Rules and Pass,
113,House,106,2013-04-16,1,107,402,16,0.788,-0.118,0.33,-0.456,-32.501,HR756,Passed,Cybersecurity Enhancement Act of 2013,"On Motion to Suspend the Rules and Pass, as Amended",
113,House,107,2013-04-16,1,108,406,11,0.82,0.036,1.205,-0.433,-24.558,HR967,Passed,Advancing America’s Networking and Information Technology Research and Development Act of 2013,"On Motion to Suspend the Rules and Pass, as Amended",
113,House,108,2013-04-17,1,109,227,192,-0.242,0.97,-0.323,-0.363,-38.714,HRES164,Passed,"Providing for consideration of H.R. 624, the Cyber Intelligence Sharing and Protection Act",On Agreeing to the Resolution,
113,House,109,2013-04-17,1,110,418,0,0.0,0.0,0.0,0.0,0.0,HR624,Agreed to,,On Agreeing to the Amendment,
113,House,110,2013-04-17,1,111,418,0,0.0,0.0,0.0,0.0,0.0,HR624,Agreed to,,On Agreeing to the Amendment,
113,House,111,2013-04-17,1,112,411,3,0.0,0.0,0.0,0.0,0.0,HR624,Agreed to,,On Agreeing to the Amendment,
113,House,112,2013-04-18,1,113,411,0,0.0,0.0,0.0,0.0,0.0,HR624,Agreed to,,On Agreeing to the Amendment,
113,House,113,2013-04-18,1,114,413,0,0.0,0.0,0.0,0.0,0.0,HR624,Agreed to,,On Agreeing to the Amendment,
113,House,114,2013-04-18,1,115,409,5,0.0,0.0,0.0,0.0,0.0,HR624,Agreed to,,On Agreeing to the Amendment,
113,House,115,2013-04-18,1,116,189,224,0.154,0.58,0.737,-0.434,-5.212,HR624,Failed,Cyber Intelligence Sharing and Protection Act,On Motion to Recommit with Instructions,
113,House,116,2013-04-18,1,117,288,128,-0.775,0.471,-0.343,-1.487,-156.9,HR624,Passed,Cyber Intelligence Sharing and Protection Act,On Passage,
113,House,117,2013-04-23,1,118,409,0,0.0,0.0,0.0,0.0,0.0,HR1067,Passed,"To make revisions in title 36, United States Code, as necessary to keep the title current and make technical corrections and improvements",On Motion to Suspend the Rules and Pass,
113,House,118,2013-04-23,1,119,409,0,0.0,0.0,0.0,0.0,0.0,HR1068,Passed,"To enact title 54, United States Code, “National Park Service and Related Programs”, as positive law","On Motion to Suspend the Rules and Pass, as Amended",
113,House,119,2013-04-23,1,120,285,118,0.896,-0.289,0.065,0.006,-244.675,,Passed,,On Approving the Journal,
113,House,120,2013-04-24,1,121,228,192,-0.004,0.009,-0.73,-0.337,-2.552,HRES175,Passed,"Providing for consideration of H.R. 1549, Helping Sick Americans Now Act",On Ordering the Previous Question,
113,House,121,2013-04-24,1,122,225,189,-0.047,0.999,-0.418,-0.216,-10.128,HRES175,Passed,"Providing for consideration of H.R. 1549, Helping Sick Americans Now Act",On Agreeing to the Resolution,
113,House,122,2013-04-24,1,123,420,0,0.0,0.0,0.0,0.0,0.0,HR360,Passed,"To award posthumously a Congressional Gold Medal to Addie Mae Collins, Denise McNair, Carole Robertson, and Cynthia Wesley to commemorate the lives they lost 50 years ago in the bombing of the 16th Street Baptist Church, where these 4 Black girls’ ultimate sacrifice served as a catalyst for the Civil Rights Movement","On Motion to Suspend the Rules and Pass, as Amended",
113,House,123,2013-04-25,1,124,231,177,-0.139,0.268,-1.209,0.209,-35.922,HRES178,Passed,"Providing for consideration of the bill (H.R. 527) to amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes",On Agreeing to the Resolution,
113,House,124,2013-04-26,1,125,361,41,-0.575,-0.771,-0.171,-0.124,-109.596,HR1765,Passed,Reducing Flight Delays Act,On Motion to Suspend the Rules and Pass,
113,House,125,2013-04-26,1,126,87,312,0.789,0.478,-0.051,-0.273,-222.378,HR527,Failed,,On Agreeing to the Amendment,
113,House,126,2013-04-26,1,127,186,211,0.075,0.995,1.077,-0.532,-13.541,HR527,Failed,"To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes",On Motion to Recommit with Instructions,
113,House,127,2013-04-26,1,128,394,1,0.0,0.0,0.0,0.0,0.0,HR527,Passed,"To amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes",On Passage,
113,House,128,2013-05-06,1,129,398,2,0.0,0.0,0.0,0.0,0.0,HR588,Passed,Vietnam Veterans Donor Acknowledgment Act,On Motion to Suspend the Rules and Pass,
113,House,129,2013-05-06,1,130,390,2,0.0,0.0,0.0,0.0,0.0,HR291,Passed,Black Hills Cemetery Act,On Motion to Suspend the Rules and Pass,
113,House,130,2013-05-06,1,131,401,2,0.0,0.0,0.0,0.0,0.0,HR507,Passed,Pascua Yaqui Tribe Trust Land Act,On Motion to Suspend the Rules and Pass,
113,House,131,2013-05-07,1,132,230,198,0.008,-0.109,-0.739,-0.341,-2.559,HRES198,Passed,"Providing for consideration of H.R. 1406, the Working Families Flexibility Act",On Ordering the Previous Question,
113,House,132,2013-05-07,1,133,228,199,0.06,0.419,-0.728,0.236,-0.348,HRES198,Passed,"Providing for consideration of H.R. 1406, the Working Families Flexibility Act",On Agreeing to the Resolution,
113,House,133,2013-05-07,1,134,293,131,0.923,-0.385,0.049,-0.077,-259.043,,Passed,,On Approving the Journal,
113,House,134,2013-05-08,1,135,384,42,-0.436,0.76,-0.167,0.211,-115.019,HR1406,Agreed to,,On Agreeing to the Amendment,
113,House,135,2013-05-08,1,136,200,227,0.167,0.646,0.723,-0.482,-5.329,HR1406,Failed,To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector,On Motion to Recommit with Instructions,
113,House,136,2013-05-08,1,137,223,205,0.14,-0.097,-0.999,-1.52,-25.365,HR1406,Passed,To amend the Fair Labor Standards Act of 1938 to provide compensatory time for employees in the private sector,On Passage,
113,House,137,2013-05-08,1,138,227,199,0.059,0.385,-0.727,0.239,-0.339,HRES202,Passed,Providing for consideration of the bill (H.R. 807) to require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached,On Ordering the Previous Question,
113,House,138,2013-05-08,1,139,226,199,0.062,0.416,-0.727,0.25,-0.349,HRES202,Passed,Providing for consideration of the bill (H.R. 807) to require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached,On Agreeing to the Resolution,
113,House,139,2013-05-09,1,140,340,84,-0.402,0.116,-1.147,0.452,-92.225,HR807,Agreed to,,On Agreeing to the Amendment,
113,House,140,2013-05-09,1,141,200,227,0.032,0.474,0.334,0.167,-12.006,HR807,Failed,To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached,On Motion to Recommit with Instructions,
113,House,141,2013-05-09,1,142,221,208,-0.121,0.993,-0.456,-0.618,-19.871,HR807,Passed,To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached,On Passage,
113,House,142,2013-05-09,1,143,264,140,0.92,-0.392,0.049,0.022,-258.863,,Passed,,On Approving the Journal,
